page,name,brand,link,price,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,screen_size,screen_type
laptopworld,"Laptop Lenovo Legion 5 Y7000P 16IRX9 (Core i7-14650HX, Ram 16GB, SSD 1TB, RTX 4050, 16inch 2.5K 165Hz, Win 11, Xám)",Laptop Lenovo,/laptop-lenovo-legion-5-y7000p-16irx9-core-i7-14650hx-ram-16gb-ssd-1tb-rtx-4050-16inch-2-5k-165hz-win-11-xam,33990000.0,Intel Core i714650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,16.0,IPS
laptopworld,Laptop Lenovo Legion 5 16IRX9 83DG0051VN (Core™ i7-14650HX | 16GB | 1TB | RTX™ 4060 8GB | 16inch WQXGA 165Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-legion-5-16irx9-83dg0051vn,45990000.0,Intel Core i714650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16.0,IPS
laptopworld,Laptop Lenovo Legion Pro 7 16IRX9H 83DE001NVN (Core™ i9-14900HX | 32GB | 1TB | RTX™ 4080 | 16inch WQXGA 240Hz | Win 11 | Đen),Laptop Lenovo,/laptop-lenovo-legion-pro-7-16irx9h-83de001nvn,88990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4080 12GB GDDR6,16.0,IPS
laptopworld,"Laptop Acer Predator Helios 16 PH16-72-95ZM NH.QNZSV.008 (Core i9-14900HX | 32GB | 2TB | 16 inch 2K, 250Hz | RTX 4080 | Win 11 | Đen)",Laptop Acer,/laptop-acer-predator-helios-16-ph16-72-95zm-nh-qnzsv-008,78990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4080 12GB GDDR6,16,2K
laptopworld,"Laptop Acer Predator Helios 18 PH18-72-908N NH.QP4SV.001 (Core i9-14900HX | 32GB | 4TB | 18 inch 2K+, 250Hz | RTX 4090 | Win 11 | Đen)",Laptop Acer,/laptop-acer-predator-helios-18-ph18-72-908n-nh-qp4sv-001,104990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,4TB,NVIDIA GeForce RTX 4090 16GB GDDR6,18,2K
laptopworld,Laptop MSI Creator M16 HX C14VFG 040VN (Intel® Core™ i7-14700HX  | 32GB | 1TB | RTX 4060 | 16inch QHD+ 240Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-creator-m16-hx-c14vfg-040vn,45990000.0,Intel Core i714700HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,HD
laptopworld,Laptop Creator Z17 HX Studio A14VFT 273VN (Intel® Core™ i7-14700HX | 64GB | 2GB | RTX 4060 | 17 inch QHD+ 165Hz | Cảm ứng | Bút cảm ứng | Win 11 | Xám),Laptop Creator,/laptop-creator-z17-hx-studio-a14vft-273vn,68990000.0,Intel Core i714700HX ,Intel,64,DDR5,SSD,2TB,NVIDIA GeForce RTX 4060 8GB GDDR6,17 ,HD
laptopworld,Laptop Creator Z17 HX Studio A14VGT 272VN (Intel® Core™ i7-14700HX | 32GB | 2GB | RTX 4070 | 17 inch QHD+ 165Hz | Cảm ứng | Bút cảm ứng | Win 11 | Xám),Laptop Creator,/laptop-creator-z17-hx-studio-a14vgt-272vn,71990000.0,Intel Core i714700HX ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4070 8GB GDDR6,17 ,HD
laptopworld,Laptop MSI Creator 16 AI Studio A1VHG 079VN (Intel® Core™ Ultra 9 185H | 64GB | 2GB | RTX 4080 | 16 inch UHD+ 120Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-creator-16-ai-studio-a1vhg-079vn,89990000.0,Intel Core Ultra 9 185H ,Intel,64,DDR5,SSD,2TB,NVIDIA GeForce RTX 4080 12GB GDDR6,16 ,HD
laptopworld,Laptop MSI Creator 16 AI Studio A1VIG 078VN (Intel® Core™ Ultra 9 185H | 64GB | 2GB | RTX 4090 | 16 inch UHD+ 120Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-creator-16-ai-studio-a1vig-078vn,109990000.0,Intel Core Ultra 9 185H ,Intel,64,DDR5,SSD,2TB,NVIDIA GeForce RTX 4090 16GB GDDR6,16 ,HD
laptopworld,Laptop MSI Thin 15 B12UCX 1419VN (Core™ i5-12450H | 8GB | 512GB | RTX 2050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-thin-15-b12ucx-1419vn,17990000.0,Intel Core i512450H ,Intel,512,DDR4,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6 ,HD
laptopworld,Laptop MSI Thin A15 B7UC 026VN (Ryzen 5-7535HS | 8GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-thin-a15-b7uc-026vn,20990000.0,AMD Ryzen 57535HS ,AMD,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 3050 4GB GDDR6,15.6,HD
laptopworld,Laptop MSI Thin 15 B12UC 1416VN (Core™ i5-12450H | 8GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-thin-15-b12uc-1416vn,21990000.0,Intel Core i512450H ,Intel,512,DDR4,SSD,512GB,NVIDIA GeForce RTX 3050 4GB GDDR6,15.6 ,HD
laptopworld,Laptop MSI Cyborg 15 A13VFK 876VN (Intel Core i7-13620H | 16GB | 512GB | RTX 4060 | 15.6 inch FHD 144Hz | Win11 | Đen),Laptop MSI,/laptop-msi-cyborg-15-a13vfk-876vn,29990000.0,Intel Core i713620H ,Intel,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,15.6,HD
laptopworld,Laptop MSI Katana A15 AI B8VF 419VN (AMD Ryzen 7-8840H | 16GB | 512GB | RTX 4060  | 15.6 inch FHD 144Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-katana-a15-ai-b8vf-419vn,30990000.0,AMD Ryzen 78840H ,AMD,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,15.6,HD
laptopworld,Laptop MSI Vector 16 HX 13VHG (Intel Core i9-13980HX | 16GB | 1TB | RTX 4080 | 16 inch FHD+ 144Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-vector-16-hx-13vhg-intel-core-i9-13980hx-16gb-1tb-rtx-4080-16-inch-fhd-144hz-win-11-xam,59990000.0,Intel Core i913980HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4080 12GB GDDR6,16 ,HD
laptopworld,Laptop MSI Stealth 16 AI Studio A1VGG 089VN (Intel Core Ultra 9 185H | 32GB | 2TB | RTX 4070 | 16 inch QHD+ 240Hz | Win 11 | Xanh),Laptop MSI,/laptop-msi-stealth-16-ai-studio-a1vgg-089vn,64990000.0,Intel Core Ultra 9 185H ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4070 8GB GDDR6,16 ,HD
laptopworld,Laptop MSI Stealth 18 AI Studio A1VHG-025VN (Intel Core Ultra 9 185H | 32GB | 2TB | RTX 4080 | 18 inch UHD+ 120Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-stealth-18-ai-studio-a1vhg-025vn,94990000.0,Intel Core Ultra 9 185H ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4080 12GB GDDR6,18 ,HD
