page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
thegioididong,Laptop HP Gaming VICTUS 16 s0173AX R5 7640HS/16GB/512GB/6GB RTX3050/144Hz/Win11 (A9LG9PA),Laptop HP,http://www.thegioididong.com/laptop/hp-victus-16-s0173ax-r5-a9lg9pa,22690000.0,0,1,AMD Ryzen 5- 7640HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 3050, 6 GB",Nvidia,16.1,Độ phân giải:Full HD
thegioididong,Laptop Acer Aspire 5 A514 56P 54TN i5 1335U/8GB/512GB/Win11 (NX.KHRSV.004),Laptop Acer,http://www.thegioididong.com/laptop/acer-aspire-5-a514-56p-54tn-i5-nxkhrsv004,13490000.0,0,1,Intel Core i5 Raptor Lake - 1335U,Intel,8,LPDDR5,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,14,WUXGA
thegioididong,Laptop HP 15 fd1064TU Ultra 5 125H/16GB/512GB/Win11 (9Z2Y2PA),Laptop HP,http://www.thegioididong.com/laptop/hp-15-fd1064tu-ultra-5-9z2y2pa?utm_flashsale=1,17990000.0,0,1,Intel Core Ultra 5 Meteor Lake - 125H,Intel,16,DDR5,SSD,512 GB,Card tích hợp- Intel Arc Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Asus TUF Gaming A15 FA507NVR R7 7435HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP007W),Laptop Asus,http://www.thegioididong.com/laptop/asus-fa507nvr-r7-lp007w,27490000.0,0,1,AMD Ryzen 7- 7435HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 4060, 8 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop MSI Prestige 13 AI Evo A1MG Ultra 7 155H/32GB/1TB/Balo/Chuột/Win11 (062VN),Laptop MSI,http://www.thegioididong.com/laptop/msi-prestige-13-ai-evo-a1mg-ultra-7-062vn,30990000.0,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,32,,SSD,1 TB,Card tích hợp- Intel Arc Graphics,Intel,13.3,2.8K
thegioididong,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-yoga-pro-7-14imh9-ultra-7-83e2005dvn,,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,32,,SSD,1 TB,"Card rời- NVIDIA GeForce RTX 4050, 6 GB",Nvidia,14.5,2.8K
thegioididong,Laptop Acer Swift AI SF14 51 53P9 Ultra 5 226V/16GB/1TB/Win11 (NX.J2KSV.002),Laptop Acer,http://www.thegioididong.com/laptop/acer-swift-ai-sf14-51-53p9-ultra-5-nxj2ksv002,34990000.0,0,1,Intel Core Ultra 5 Lunar Lake - 226V,Intel,16,LPDDR5,SSD,1 TB,Card tích hợp- Intel Arc Graphics 130V,Intel,14,2.8K
thegioididong,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/1TB/120Hz/OfficeHS/Win11 (N3530-i7U161W11BLU-FP),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n3530i7u161w11blufp,22490000.0,0,1,Intel Core i7 Raptor Lake - 1355U,Intel,16,DDR4,SSD,1 TB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP 15s fq5162TU i5 1235U/8GB/512GB/Win11 (7C134PA),Laptop HP,http://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa,14990000.0,0,1,Intel Core i5 Alder Lake- 1235U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/Office365/KYHD/Win11 (N5I7301W1),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1?utm_flashsale=1,,0,1,Intel Core i7 Raptor Lake - 1355U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
