page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Lenovo ThinkPad X1 Nano Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano?skuId=8958,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/lenovo-thinkpad-x1-nano-thinkpro-01.jpg,16990000,1,0,Intel Core i7 1160G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,13,2K
Thinkpro,Lenovo ThinkPad X1 Nano Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano?skuId=9396,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://media-api-beta.thinkpro.vn/media/core/products/2024/11/3/lenovo-thinkpad-x1-nano-gen-1-undefined.jpg,17390000,1,0,Intel Core i7-1180G7,Intel,16GB,LPDDR4x,SSD,256GB,Intel Iris Xe Graphics,Intel,13,2K
Thinkpro,Lenovo ThinkPad P1 Gen 5,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-5?skuId=7497,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-5-undefined.jpg,31990000,1,0,Intel Core i7 12800H,Intel,16GB,DDR5,SSD,512 GB,Nvidia Geforce RTX 3070Ti 8GB,Nvidia,16,2.5K
Thinkpro,Lenovo ThinkPad T14s Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-3?skuId=8255,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/20/lenovo-thinkpad-t14s-gen-3-undefined-XmO.jpg,14990000,1,0,Intel Core i7 1265U,Intel,16GB,LPDDR4,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Microsoft Surface Pro 7 Plus,Microsoft,https://thinkpro.vn/laptop/microsoft-surface-pro-7-plus?skuId=8128,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/7/27/microsoft-surface-pro-7-plus-thinkpro-01.jpg,13990000,1,0,Intel Core i5 1135G7,Intel,8GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,12.3,3K
Thinkpro,Microsoft Surface Pro 7 Plus,Microsoft,https://thinkpro.vn/laptop/microsoft-surface-pro-7-plus?skuId=8184,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/microsoft-surface-pro-7-thinkpro-01.jpg,10790000,1,0,Intel Core i5 1135G7,Intel,8GB,LPDDR4X,SSD,128 GB,Intel Iris Xe Graphics,Intel,12.3,3K
Thinkpro,Lenovo ThinkPad X13 Gen 2,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-2-amd?skuId=8602,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/2/lenovo-thinkpad-x13-gen2.png,13690000,1,0,Intel Core i7 1185G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,13,FHD
Thinkpro,Dell Inspiron 15 3511,Dell,https://thinkpro.vn/laptop/dell-inspiron-15-3511?skuId=7272,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/8/28/dell-inspiron-15-3511-thinkpro.jpg,9990000,1,0,Intel Core i5 1135G7,Intel,16GB,DDR4,SSD,512 GB,Intel Iris Xe Graphics,Intel,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Extreme Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-3?skuId=8746,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/1/9/lenovo-thinkpad-x1-extreme-gen-3-thinkpro-01.png,19990000,1,0,Intel Core i7 10850H,Intel,32GB,DDR4,SSD,1,Geforce GTX 1650Ti Max-Q 4GB,Geforce,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Yoga Gen 6,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-yoga-gen-6?skuId=9366,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/10/lenovo-thinkpad-x1-yoga-gen-6-1-1632801991.jpeg,17990000,1,0,Intel Core i7 1185G7,Intel,32GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,FHD
