page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Dell Latitude 14 7440,Dell,https://thinkpro.vn/laptop/dell-latitude-14-7440,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/6/9/dell-latitude-7440-thinkpro-GMs.jpg,21990000,0,1,Intel Core i7-1365U,Intel,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Dell Precision 5680,Dell,https://thinkpro.vn/laptop/dell-precision-5680,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/6/12/dell-precision-5680-thinkpro.jpg,39990000,0,1,Intel Core i7 13800H,Intel,32GB,LPDDR5x,SSD,512 GB,Nvidia Quadro RTX A1000 6GB,Nvidia,16,4K
Thinkpro,Lenovo Yoga Slim 7 2-in-1 16IML9,Lenovo,https://thinkpro.vn/laptop/lenovo-yoga-7-16,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://media-api-beta.thinkpro.vn/media/core/products/2024/10/31/lenovo-yoga-slim-7-2-in-1-16iml9-undefined-iYL.jpg,19990000,0,1,Intel Core Ultra 7 155U,Intel,16GB,LPDDR5x,SSD,1TB,Intel Graphics,Intel,16,FHD
Thinkpro,Dell Inspiron 16 Plus 7630,Dell,https://thinkpro.vn/laptop/dell-inspiron-16-plus-7630,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/3/28/dell-inspiron-16-plus-7630-thinkpro-01.png,20390000,0,1,Intel Core i7 13700H,Intel,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,16,2.5K
Thinkpro,Lenovo ThinkPad P16 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p16,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/3/20/lenovo-thinkpad-p16-01.png,35990000,0,1,Intel Core i7 12850HX,Intel,32GB,DDR5,SSD,512 GB,Quadro RTX A3000 12GB,Quadro,16,FHD
Thinkpro,Acer Swift X 14 2023,Acer,https://thinkpro.vn/laptop/acer-swift-x-14-2023,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/8/14/acer-swift-x-14-2023-undefined.jpg,23790000,0,1,Intel Core i7 13700H,Intel,16GB,LPDDR5,SSD,1,RTX 4050 6GB,RTX,14,3K
Thinkpro,Lenovo ThinkPad X1 Yoga Gen 8,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-yoga-gen-8,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/5/18/lenovo-thinkpad-x1-yoga-gen-8-thinkpro.jpg,22790000,0,1,Intel Core i5 1335U,Intel,16GB,LPDDR5X,SSD,256,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,,,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-gen-3,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/6/12/lenovo-thinkpad-x1-nano-gen-3-thinkpro.jpg,,0,1,Intel Core i7 1370P,Intel,16GB,LPDDR5x,SSD,1,Intel Iris Xe Graphics,Intel,13,2K
Thinkpro,Dell Alienware x14 R2,Dell,https://thinkpro.vn/laptop/dell-alienware-x14-r2,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/6/12/dell-alienware-x14-r2-thinkpro.jpg,33790000,0,1,Intel Core i7 13620H,Intel,16GB,LPDDR5,SSD,256 GB,RTX 4050 6GB,RTX,14,FHD
Thinkpro,Acer Swift Go 14 2023,Acer,https://thinkpro.vn/laptop/acer-swift-go-14-2023,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/2/25/acer-swift-go-14-thinkpro.jpg,15390000,0,1,Intel Core i7 1355U,Intel,16GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Acer Predator Helios 16,Acer,https://thinkpro.vn/laptop/acer-predator-helios-16,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/25/acer-predator-helios-16-undefined.jpg,33790000,0,1,Intel Core i7 13700H,Intel,16GB,DDR5,SSD,1,Nvidia GeForce RTX 4060 8GB,Nvidia,16,2.5K
Thinkpro,Lenovo Legion 5 Pro 2023,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-5-pro-2023,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-legion-5-pro-2023-undefined.jpg,35490000,0,1,Intel Core i9 13900HX,Intel,16GB,DDR5,SSD,512 GB,GeForce RTX 4060 8GB,GeForce,16,2.5K
Thinkpro,Lenovo ThinkPad P15 Gen 2,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-2,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/11/thinkpad%20p15%20g2%207111.png,20390000,0,1,Intel Core i7 11800H,Intel,16GB,DDR4,SSD,512 GB,Nvidia Quadro T1200 4GB,Nvidia,15.6,FHD
Thinkpro,Dell XPS 13 9310 2-in-1,Dell,https://thinkpro.vn/laptop/dell-xps-13-9310-2-in-1,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/6/26/dell-xps-13-9310-2-in-1-thinkpro-JQs.jpg,17990000,0,1,Intel Core i7 1165G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,13.4,FHD
Thinkpro,Dell Precision 7540,Dell,https://thinkpro.vn/laptop/dell-precision-7540,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/21/dell-precision-7540-undefined-EkC.jpg,13990000,0,1,Intel Xeon E2276M,Intel,16GB,DDR4,SSD,512 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
Thinkpro,Dell Precision 7550,Dell,https://thinkpro.vn/laptop/dell-precision-7550,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/23/dell-precision-7550-undefined.jpg,18390000,0,1,Intel Core i7 10850H,Intel,16GB,DDR4,SSD,512 GB,Quadro T2000 4GB,Quadro,15.6,FHD
Thinkpro,Lenovo ThinkPad P1 Gen 6,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-6,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/5/12/lenovo-thinkpad-p1-gen-6-thinkpro.jpg,36990000,0,1,Intel Core i7 13700H,Intel,16GB,DDR5,SSD,1,Nvidia Quadro RTX A1000 6GB,Nvidia,16,FHD
