page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptop88,Lenovo IdeaPad 16s IRU9 83E7 ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-ideapad-16s-iru9-83e7-intel-core-5-120u-ssd-1tb-16-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9203.jpg,13990000,0,1,CPU Intel Core 5-120U,Intel,8GB,DDR5,SSD,512GB,Intel Graphics,Intel,16,FHD
laptop88,Lenovo LOQ 15IAX9 83GS001RVN ,Lenovo,https://laptop88.vn/new-outlet-laptop-lenovo-loq-15iax9-83gs001rvn-intel-core-i5-12450hx-rtx-3050-15-6-inch-144hz-100-srgb,https://laptop88.vn/media/product/250_9197_8760_laptop_lenovo_loq_15iax9_83gs001rvn__3__bo_gia__1_.jpg,19690000,0,1,CPU Intel Core i5-12450HX,Intel,12GB,DDR5,SSD,,RTX 3050 6GB GDDR6,RTX,15.6,FHD
laptop88,HP Pavilion 16-af0945nr A3SP2UA ,HP,https://laptop88.vn/new-100-laptop-hp-pavilion-16-af0945nr-a3sp2ua-intel-core-ultra-7-155u-16gb-ssd-512gb-16-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9196.jpg,16990000,0,1,CPU Intel Core Ultra 7-155U,Intel,16GB,LPDDR5,SSD,512GB,Intel Graphics,Intel,16,FHD
laptop88,HP 15-fd0999nr A3SP1UA ,HP,https://laptop88.vn/new-100-laptop-hp-15-fd0999nr-a3sp1ua-intel-i5-1235u-15-6-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9195.jpg,11590000,0,1,CPU Intel Core i5-1235U,Intel,8GB,DDR4,SSD,512GB,Iris Xe Graphics,Iris,15.6,FHD
laptop88,Dell Inspiron 14 Plus 7440A-R1605L ,Dell,https://laptop88.vn/new-100-laptop-dell-inspiron-14-plus-7440a-r1605l-intel-core-i5-12450h-16gb-14-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9194.jpg,15990000,0,1,CPU Intel Core i5-12450H,Intel,16GB,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14,FHD
laptop88,Lenovo Gaming LOQ 15IAX9 83GS001CUS ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-loq-15iax9-83gs001cus-intel-core-i5-12450hx-ram-12gb-rtx-3050-15-6-inch-144hz-100-srgb,https://laptop88.vn/media/product/pro_poster_9193.jpg,17990000,0,1,CPU Intel Core i5-12450HX,Intel,12GB,DDR5,SSD,512GB,Nvidia Geforce RTX 3050 6GB,Nvidia,15.6,FHD
laptop88,Lenovo ThinkBook 14 G6+ IMH ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-plus-14-g6-imh-21ld000dcd-intel-core-ultra-5-125h-16gb-ddr5-14-5-inch-2k-100-srgb,https://laptop88.vn/media/product/pro_poster_9192.jpg,19090000,0,1,CPU Intel Core Ultra 5-125H,Intel,16GB,LPDDR5,SSD,512GB,Intel Arc Graphics,Intel,14.5,2.5K
laptop88,Lenovo ThinkBook 14 Gen 6 21KJ005GVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-14-gen-6-21kj005gvn-amd-ryzen-5-7530u-16gb-ram-512gb-14-inch-full-hd,https://laptop88.vn/media/product/250_9191_83478_laptop_lenovo_thinkbook_14_gen_6_21kj005gvn_r5_7530u_16gb_ram_512gb_ssd___4___1_.jpg,15790000,0,1,CPU AMD Ryzen 5-7530U,AMD,16GB,DDR4,SSD,512GB,Integrated AMD Radeon Graphics,Integrated,14,FHD
laptop88,Lenovo ThinkBook 14 Gen 6 21KG00BQVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-14-gen-6-21kg00bqvn-intel-core-i7-1355u-16gb-ssd-512gb-14-inch-full-hd,https://laptop88.vn/media/product/250_9190_85776_laptop_lenovo_thinkbook_14_gen_6_21kg00bqvn_i7_1355u_16gb_ram_512gb_ssd_14_wuxga_win11_xam__5_.jpg,21290000,0,1,CPU Intel Core i7-1355U,Intel,16GB,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14,FHD
laptop88,Lenovo ThinkBook 16 Gen 6 21KK0060VN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-16-gen-6-21kk0060vn-amd-ryzen-7-7730u-32gb-ram-ssd-1tb-16-inch-2k-100-srgb,https://laptop88.vn/media/product/250_9189_85775_laptop_lenovo_thinkbook_16_gen_6_21kk0060vn_r7_7730u_32gb_ram_1tb_ssd_16_wqxga_win11_xam__6___1_.jpg,21590000,0,1,CPU AMD Ryzen 7 7730U,AMD,32GB,DDR4,SSD,1TB,AMD Radeon Graphics,AMD,16,2K
