brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Acer,14990000.0,0,1,Intel Core i51334U,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,16.0,HD
Lenovo,20890000.0,0,1,Intel Core i513420H,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,16.0,IPS
Dell,16190000.0,0,1,Intel Core i51235U,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Dell,16990000.0,0,1,Intel Core i51235U,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
Dell,15590000.0,0,1,Intel Core i51235U,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Dell,12990000.0,0,1,Intel Core i31215U,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Dell,15590000.0,0,1,Intel Core i51235U,Intel,8.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
Asus,12690000.0,0,1,Intel Core i31315U,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Lenovo,27490000.0,0,1,Intel Core i51335U,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
Dell,24790000.0,0,1,Intel Core 5 120U,Intel,16.0,DDR5,SSD,1TB,Intel Graphics,Intel,16.0,HD
Lenovo,21990000.0,0,1,Intel Core i71355U,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
Dell,60990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,2TB,NVIDIA GeForce RTX 4050,Nvidia,14.5,HD
Lenovo,33490000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,2K
Lenovo,28690000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,IPS
Lenovo,34990000.0,0,1,Intel Core Ultra 9 185H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.5,8K
Lenovo,33990000.0,0,1,Intel Core Ultra 9 185H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.5,8K
Lenovo,31990000.0,0,1,Intel Core Ultra 9 185H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.5,8K
